Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Leon Smith,2002,2004,C,6-10,235.0,"November 2, 1980",,False,False,https://www.basketball-reference.com/players/s/smithle01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithle01.html
Michael Smith,1990,1995,F,6-10,225.0,"May 19, 1965",BYU,False,False,https://www.basketball-reference.com/players/s/smithmi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithmi01.html
Michael Smith,1995,2001,F,6-8,230.0,"March 28, 1972",Providence,False,False,https://www.basketball-reference.com/players/s/smithmi02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithmi02.html
Mike Smith,2001,2001,F,6-8,195.0,"April 15, 1976",Louisiana-Monroe,False,False,https://www.basketball-reference.com/players/s/smithmi03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithmi03.html
Nick Smith Jr.,2024,2024,G,6-5,185.0,"April 18, 2004",Arkansas,False,True,https://www.basketball-reference.com/players/s/smithni01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithni01.html
Nolan Smith,2012,2013,G,6-2,185.0,"July 25, 1988",Duke,False,False,https://www.basketball-reference.com/players/s/smithno01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithno01.html
Otis Smith,1987,1992,G-F,6-5,210.0,"January 30, 1964",Jacksonville University,False,False,https://www.basketball-reference.com/players/s/smithot01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithot01.html
Pete Smith,1973,1973,F,6-6,205.0,,Valdosta State University,False,False,https://www.basketball-reference.com/players/s/smithpe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithpe01.html
Phil Smith,1975,1983,G,6-4,185.0,"April 22, 1952",San Francisco,False,False,https://www.basketball-reference.com/players/s/smithph01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithph01.html
Randy Smith,1972,1983,G-F,6-3,180.0,"December 12, 1948",Buffalo State,False,False,https://www.basketball-reference.com/players/s/smithra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithra01.html
Reggie Smith,1993,1994,C,6-10,240.0,"August 21, 1970",TCU,False,False,https://www.basketball-reference.com/players/s/smithre01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithre01.html
Robert Smith,1978,1985,G,5-11,165.0,"March 10, 1955",UNLV,False,False,https://www.basketball-reference.com/players/s/smithro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithro01.html
Russ Smith,2015,2016,G,6-0,165.0,"April 19, 1991",Louisville,False,False,https://www.basketball-reference.com/players/s/smithru01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithru01.html
Sam Smith,1968,1971,F,6-7,230.0,"January 27, 1944","Louisville, Kentucky Wesleyan College",False,False,https://www.basketball-reference.com/players/s/smithsa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithsa01.html
Sam Smith,1979,1980,G,6-4,200.0,"January 8, 1955",UNLV,False,False,https://www.basketball-reference.com/players/s/smithsa02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithsa02.html
Steve Smith,1992,2005,G,6-8,200.0,"March 31, 1969",Michigan State,False,False,https://www.basketball-reference.com/players/s/smithst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithst01.html
Steven Smith,2007,2007,F,6-8,235.0,"April 12, 1983",La Salle,False,False,https://www.basketball-reference.com/players/s/smithst03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithst03.html
Stevin Smith,1997,1997,G,6-2,208.0,"January 24, 1972",Arizona State,False,False,https://www.basketball-reference.com/players/s/smithst02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithst02.html
Terquavion Smith,2024,2024,G,6-4,165.0,"December 31, 2002",NC State,False,True,https://www.basketball-reference.com/players/s/smithte01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithte01.html
Theron Smith,2004,2005,F,6-8,225.0,"October 3, 1980",Ball State University,False,False,https://www.basketball-reference.com/players/s/smithth01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithth01.html
Tony Smith,1991,2001,G,6-3,185.0,"June 14, 1968",Marquette,False,False,https://www.basketball-reference.com/players/s/smithto02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithto02.html
William Smith,1972,1973,C,7-0,220.0,"February 14, 1949",Syracuse,False,False,https://www.basketball-reference.com/players/s/smithwi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithwi01.html
Willie Smith,1977,1980,G,6-2,170.0,"October 26, 1953",Missouri,False,False,https://www.basketball-reference.com/players/s/smithwi02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithwi02.html
Zhaire Smith,2019,2020,G,6-3,205.0,"June 4, 1999",Texas Tech,False,True,https://www.basketball-reference.com/players/s/smithzh01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smithzh01.html
Rik Smits,1989,2000,C,7-4,250.0,"August 23, 1966",Marist College,False,False,https://www.basketball-reference.com/players/s/smitsri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smitsri01.html
Mike Smrek,1986,1992,C,7-0,250.0,"August 31, 1962",Canisius,False,False,https://www.basketball-reference.com/players/s/smrekmi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smrekmi01.html
Joe Smyth,1954,1954,F,6-3,215.0,"May 22, 1929",Niagara University,False,False,https://www.basketball-reference.com/players/s/smythjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{smythjo01.html
Xavier Sneed,2022,2023,F,6-5,215.0,"December 21, 1997",Kansas State,False,True,https://www.basketball-reference.com/players/s/sneedxa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sneedxa01.html
Tony Snell,2014,2022,G-F,6-6,213.0,"November 10, 1991",New Mexico,False,False,https://www.basketball-reference.com/players/s/snellto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{snellto01.html
Eric Snow,1996,2008,G,6-3,190.0,"April 24, 1973",Michigan State,False,False,https://www.basketball-reference.com/players/s/snower01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{snower01.html
Dick Snyder,1967,1979,G-F,6-5,207.0,"February 1, 1944",Davidson,False,False,https://www.basketball-reference.com/players/s/snydedi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{snydedi01.html
Kirk Snyder,2005,2008,G,6-6,225.0,"June 5, 1983",Nevada,False,False,https://www.basketball-reference.com/players/s/snydeki01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{snydeki01.html
Chips Sobek,1950,1950,G-F,6-0,180.0,"February 10, 1920",Notre Dame,False,False,https://www.basketball-reference.com/players/s/sobekch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sobekch01.html
Ricky Sobers,1976,1986,G,6-3,198.0,"January 15, 1953",UNLV,False,False,https://www.basketball-reference.com/players/s/soberri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{soberri01.html
Ron Sobie,1957,1960,G,6-3,185.0,"September 21, 1934",DePaul,False,False,https://www.basketball-reference.com/players/s/sobiero01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sobiero01.html
Jeremy Sochan,2023,2024,F-G,6-8,230.0,"May 20, 2003",Baylor,False,True,https://www.basketball-reference.com/players/s/sochaje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sochaje01.html
Mike Sojourner,1975,1977,C-F,6-9,225.0,"October 16, 1953",Utah,False,False,https://www.basketball-reference.com/players/s/sojoumi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sojoumi01.html
Willie Sojourner,1972,1975,C-F,6-8,225.0,"September 10, 1948",Weber State,False,False,https://www.basketball-reference.com/players/s/sojouwi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sojouwi01.html
Will Solomon,2002,2009,G,6-1,185.0,"July 20, 1978",Clemson,False,False,https://www.basketball-reference.com/players/s/solomwi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{solomwi01.html
Willie Somerset,1966,1969,G,5-8,170.0,"March 17, 1942",Duquesne,False,False,https://www.basketball-reference.com/players/s/somerwi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{somerwi01.html
Darius Songaila,2004,2011,F,6-9,248.0,"February 14, 1978",Wake Forest,False,False,https://www.basketball-reference.com/players/s/songada01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{songada01.html
Dave Sorenson,1971,1973,F,6-8,225.0,"July 8, 1948",Ohio State,False,False,https://www.basketball-reference.com/players/s/sorenda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sorenda01.html
James Southerland,2014,2014,F,6-8,215.0,"April 28, 1990",Syracuse,False,False,https://www.basketball-reference.com/players/s/southja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{southja01.html
Gino Sovran,1947,1947,F-G,6-2,175.0,"December 17, 1924",Detroit Mercy,False,False,https://www.basketball-reference.com/players/s/sovragi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sovragi01.html
Pape Sow,2005,2007,F,6-10,250.0,"November 22, 1981",Cal State Fullerton,False,False,https://www.basketball-reference.com/players/s/sowpa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sowpa01.html
Ken Spain,1971,1971,C,6-9,225.0,"October 6, 1946",Houston,False,False,https://www.basketball-reference.com/players/s/spainke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spainke01.html
Ray Spalding,2019,2021,F,6-10,215.0,"March 11, 1997",Louisville,False,True,https://www.basketball-reference.com/players/s/spaldra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spaldra01.html
Jim Spanarkel,1980,1984,G-F,6-5,190.0,"June 28, 1957",Duke,False,False,https://www.basketball-reference.com/players/s/spanaji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spanaji01.html
Vassilis Spanoulis,2007,2007,G,6-4,195.0,"August 7, 1982",,False,False,https://www.basketball-reference.com/players/s/spanova01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spanova01.html
Dan Sparks,1969,1970,F,6-8,200.0,"April 17, 1945","Vincennes University, Weber State",False,False,https://www.basketball-reference.com/players/s/sparkda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sparkda01.html
Guy Sparrow,1958,1960,F,6-6,218.0,"November 2, 1932",Detroit Mercy,False,False,https://www.basketball-reference.com/players/s/sparrgu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sparrgu01.html
Rory Sparrow,1981,1992,G,6-2,175.0,"June 12, 1958",Villanova,False,False,https://www.basketball-reference.com/players/s/sparrro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sparrro01.html
Odie Spears,1949,1957,G,6-5,205.0,"June 17, 1924",Western Kentucky,False,False,https://www.basketball-reference.com/players/s/spearod01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spearod01.html
Art Spector,1947,1950,F,6-4,200.0,"October 17, 1918",Villanova,False,False,https://www.basketball-reference.com/players/s/spectar01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spectar01.html
Marreese Speights,2009,2018,C-F,6-10,255.0,"August 4, 1987",Florida,False,False,https://www.basketball-reference.com/players/s/speigma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{speigma01.html
Omari Spellman,2019,2020,F,6-8,245.0,"July 21, 1997",Villanova,False,True,https://www.basketball-reference.com/players/s/spellom01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spellom01.html
Andre Spencer,1993,1994,F,6-6,210.0,"July 20, 1964",Northern Arizona University,False,False,https://www.basketball-reference.com/players/s/spencan01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spencan01.html
Elmore Spencer,1993,1997,C,7-0,270.0,"December 6, 1969","Georgia, UNLV",False,False,https://www.basketball-reference.com/players/s/spencel01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spencel01.html
Felton Spencer,1991,2002,C,7-0,265.0,"January 15, 1968",Louisville,False,False,https://www.basketball-reference.com/players/s/spencfe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spencfe01.html
Pat Spencer,2024,2024,G,6-3,205.0,"July 4, 1996","Loyola (MD), Northwestern",False,True,https://www.basketball-reference.com/players/s/spencpa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spencpa01.html
Lou Spicer,1947,1947,F,6-2,195.0,"November 12, 1922",Syracuse,False,False,https://www.basketball-reference.com/players/s/spicelo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spicelo01.html
Craig Spitzer,1968,1968,C,7-0,225.0,"December 18, 1945",Tulane,False,False,https://www.basketball-reference.com/players/s/spitzcr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spitzcr01.html
Tiago Splitter,2011,2017,F-C,6-11,245.0,"January 1, 1985",,False,False,https://www.basketball-reference.com/players/s/splitti01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{splitti01.html
Art Spoelstra,1955,1958,C,6-9,220.0,"September 11, 1932",Western Kentucky,False,False,https://www.basketball-reference.com/players/s/spoelar01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spoelar01.html
Bruce Spraggins,1968,1968,F,6-5,188.0,"August 31, 1939",Virginia Union University,False,False,https://www.basketball-reference.com/players/s/spragbr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spragbr01.html
Latrell Sprewell,1993,2005,G,6-5,190.0,"September 8, 1970",Alabama,False,False,https://www.basketball-reference.com/players/s/sprewla01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sprewla01.html
Larry Spriggs,1982,1986,F,6-7,230.0,"September 8, 1959",Howard University,False,False,https://www.basketball-reference.com/players/s/sprigla01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sprigla01.html
Jaden Springer,2022,2024,G,6-4,204.0,"September 25, 2002",Tennessee,False,True,https://www.basketball-reference.com/players/s/sprinja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sprinja01.html
Jim Springer,1949,1949,C,6-9,235.0,"June 17, 1926",,False,False,https://www.basketball-reference.com/players/s/sprinji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{sprinji01.html
Jim Spruill,1949,1949,G,6-2,225.0,"February 26, 1923",Rice University,False,False,https://www.basketball-reference.com/players/s/spruiji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{spruiji01.html
Ryan Stack,1999,2000,F,6-11,215.0,"July 24, 1975",South Carolina,False,False,https://www.basketball-reference.com/players/s/stackry01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stackry01.html
Jerry Stackhouse,1996,2013,G-F,6-6,218.0,"November 5, 1974",UNC,False,False,https://www.basketball-reference.com/players/s/stackje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stackje01.html
Kevin Stacom,1975,1982,G,6-3,185.0,"September 4, 1951","Holy Cross, Providence",False,False,https://www.basketball-reference.com/players/s/stacoke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stacoke01.html
Erv Staggs,1970,1970,F-G,6-6,195.0,"September 1, 1948","North Carolina A&T, Cheyney (PA)",False,False,https://www.basketball-reference.com/players/s/stagger01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stagger01.html
Bud Stallworth,1973,1977,F-G,6-5,190.0,"January 18, 1950",Kansas,False,False,https://www.basketball-reference.com/players/s/stallbu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stallbu01.html
Dave Stallworth,1966,1975,F-C,6-7,200.0,"December 20, 1941",Wichita State,False,False,https://www.basketball-reference.com/players/s/stallda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stallda01.html
Ed Stanczak,1950,1951,F,6-1,185.0,"August 15, 1921",,False,False,https://www.basketball-reference.com/players/s/stanced01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stanced01.html
Cassius Stanley,2021,2022,G,6-5,190.0,"August 18, 1999",Duke,False,True,https://www.basketball-reference.com/players/s/stanlca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stanlca01.html
Terence Stansbury,1985,1987,G,6-5,170.0,"February 27, 1961",Temple,False,False,https://www.basketball-reference.com/players/s/stanste01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stanste01.html
John Starks,1989,2002,G,6-5,180.0,"August 10, 1965",Oklahoma State,False,False,https://www.basketball-reference.com/players/s/starkjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{starkjo01.html
Keith Starr,1977,1977,G-F,6-6,190.0,"March 14, 1954",Pitt,False,False,https://www.basketball-reference.com/players/s/starrke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{starrke01.html
Nik Stauskas,2015,2022,G,6-6,205.0,"October 7, 1993",Michigan,False,True,https://www.basketball-reference.com/players/s/stausni01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stausni01.html
Larry Staverman,1959,1964,F,6-7,205.0,"October 11, 1936",Thomas More College,False,False,https://www.basketball-reference.com/players/s/stavela01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stavela01.html
Larry Steele,1972,1980,G-F,6-5,180.0,"May 5, 1949",Kentucky,False,False,https://www.basketball-reference.com/players/s/steella01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{steella01.html
Matt Steigenga,1997,1997,F,6-7,225.0,"March 27, 1970",Michigan State,False,False,https://www.basketball-reference.com/players/s/steigma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{steigma01.html
Vladimir Stepania,1999,2004,C,7-0,236.0,"May 8, 1976",,False,False,https://www.basketball-reference.com/players/s/stepavl01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stepavl01.html
D.J. Stephens,2014,2019,G-F,6-5,188.0,"December 19, 1990",Memphis,False,False,https://www.basketball-reference.com/players/s/stephdj01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stephdj01.html
Everette Stephens,1989,1991,G,6-2,175.0,"October 21, 1966",Purdue,False,False,https://www.basketball-reference.com/players/s/stephev01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stephev01.html
Jack Stephens,1956,1956,G-F,6-3,185.0,"May 18, 1933",Notre Dame,False,False,https://www.basketball-reference.com/players/s/stephja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stephja01.html
Joe Stephens,1997,2000,F,6-7,210.0,"January 28, 1973","Colorado, Little Rock",False,False,https://www.basketball-reference.com/players/s/stephjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stephjo01.html
Lance Stephenson,2011,2022,G-F,6-6,230.0,"September 5, 1990",Cincinnati,False,False,https://www.basketball-reference.com/players/s/stephla01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stephla01.html
Alex Stepheson,2016,2016,F,6-10,270.0,"August 7, 1987","UNC, USC",False,False,https://www.basketball-reference.com/players/s/stephal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stephal01.html
Brook Steppe,1983,1989,G-F,6-5,195.0,"November 7, 1959",Georgia Tech,False,False,https://www.basketball-reference.com/players/s/steppbr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{steppbr01.html
Barry Stevens,1993,1993,G-F,6-5,195.0,"January 17, 1963",Iowa State,False,False,https://www.basketball-reference.com/players/s/steveba01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{steveba01.html
Lamar Stevens,2021,2024,F,6-6,230.0,"July 9, 1997",Penn State,False,True,https://www.basketball-reference.com/players/s/stevela01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stevela01.html
Wayne Stevens,1960,1960,F,6-3,185.0,"June 19, 1936",Cincinnati,False,False,https://www.basketball-reference.com/players/s/stevewa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stevewa01.html
DeShawn Stevenson,2001,2013,G,6-5,210.0,"April 3, 1981",,False,False,https://www.basketball-reference.com/players/s/stevede01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stevede01.html
Dennis Stewart,1971,1971,F,6-6,220.0,"April 11, 1947",Michigan,False,False,https://www.basketball-reference.com/players/s/stewade01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stewade01.html
Isaiah Stewart,2021,2024,F-C,6-8,250.0,"May 22, 2001",Washington,False,True,https://www.basketball-reference.com/players/s/stewais01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stewais01.html
Kebu Stewart,1998,1998,F,6-8,239.0,"December 19, 1973","UNLV, Cal State-Bakersfield",False,False,https://www.basketball-reference.com/players/s/stewake01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stewake01.html
Larry Stewart,1992,1997,F,6-8,220.0,"September 21, 1968",Coppin State University,False,False,https://www.basketball-reference.com/players/s/stewala01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stewala01.html
Michael Stewart,1998,2005,C,6-10,230.0,"April 25, 1975",California,False,False,https://www.basketball-reference.com/players/s/stewami01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stewami01.html
Norm Stewart,1957,1957,F,6-5,205.0,"January 20, 1935",Missouri,False,False,https://www.basketball-reference.com/players/s/stewano01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stewano01.html
Greg Stiemsma,2012,2015,C,6-11,260.0,"September 26, 1985",Wisconsin,False,False,https://www.basketball-reference.com/players/s/stiemgr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stiemgr01.html
Steve Stipanovich,1984,1988,C,6-11,245.0,"November 17, 1960",Missouri,False,False,https://www.basketball-reference.com/players/s/stipast01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stipast01.html
Bryant Stith,1993,2002,G,6-5,208.0,"December 10, 1970",Virginia,False,False,https://www.basketball-reference.com/players/s/stithbr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stithbr01.html
Sam Stith,1962,1962,G,6-2,185.0,"July 22, 1937",St. Bonaventure,False,False,https://www.basketball-reference.com/players/s/stithsa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stithsa01.html
Tom Stith,1963,1963,F,6-5,210.0,"January 21, 1939",St. Bonaventure,False,False,https://www.basketball-reference.com/players/s/stithto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{s{stithto01.html
